gene_id,gene_short_name
Abcf1,Abcf1
Abcg1,Abcg1
Abcg2,Abcg2
Abcg4,Abcg4
Abhd14b,Abhd14b
Abhd15,Abhd15
Abhd16a,Abhd16a
Abi2,Abi2
Ablim1,Ablim1
Abr,Abr
Abtb2,Abtb2
Acadl,Acadl
Ache,Ache
Acin1,Acin1
Aco1,Aco1
Acot1,Acot1
Acot13,Acot13
Acot7,Acot7
Acot9,Acot9
Acox3,Acox3
Acpl2,Acpl2
Acsl1,Acsl1
Acsl5,Acsl5
Acsl6,Acsl6
Acss1,Acss1
Acss2,Acss2
Actb,Actb
Actl6a,Actl6a
Actn1,Actn1
Actr2,Actr2
Actr3,Actr3
Acyp1,Acyp1
Ada,Ada
Adam15,Adam15
Adamts10,Adamts10
Adamts3,Adamts3
Adap1,Adap1
Adat3,Adat3
Adcy6,Adcy6
Add1,Add1
Add2,Add2
Add3,Add3
Adh5,Adh5
Adipor2,Adipor2
Adk,Adk
Adrbk1,Adrbk1
Adrbk2,Adrbk2
Adsl,Adsl
Adssl1,Adssl1
Aes,Aes
Afap1,Afap1
Afap1l1,Afap1l1
Aff3,Aff3
Aff4,Aff4
Afg3l2,Afg3l2
Afmid,Afmid
Agap1,Agap1
Agap2,Agap2
Agfg2,Agfg2
Aggf1,Aggf1
Agpat3,Agpat3
Agpat4,Agpat4
Agpat5,Agpat5
Agps,Agps
Agtrap,Agtrap
Ahctf1,Ahctf1
Ahdc1,Ahdc1
Ahnak,Ahnak
Ahsa1,Ahsa1
Aif1,Aif1
Aim2,Aim2
Ak2,Ak2
Ak3,Ak3
Akap13,Akap13
Akap8l,Akap8l
Akap9,Akap9
Akr1a4,Akr1a4
Akt1,Akt1
Alad,Alad
Alas1,Alas1
Alas2,Alas2
Alcam,Alcam
Aldh18a1,Aldh18a1
Aldh1a1,Aldh1a1
Aldh1a7,Aldh1a7
Aldh1b1,Aldh1b1
Aldh1l1,Aldh1l1
Aldh2,Aldh2
Aldh7a1,Aldh7a1
Aldoa,Aldoa
Alkbh8,Alkbh8
Allergin-1,Allergin-1
Alox5,Alox5
Alox5ap,Alox5ap
Amfr,Amfr
Ammecr1,Ammecr1
Ampd3,Ampd3
Anapc1,Anapc1
Anapc11,Anapc11
Anapc13,Anapc13
Anapc2,Anapc2
Anapc5,Anapc5
Angpt1,Angpt1
Ank,Ank
Ank1,Ank1
Ankrd11,Ankrd11
Ankrd13a,Ankrd13a
Ankrd17,Ankrd17
Ankrd26,Ankrd26
Ankrd43,Ankrd43
Ankrd44,Ankrd44
Anln,Anln
Ano10,Ano10
Ano6,Ano6
Anp32a,Anp32a
Anp32b,Anp32b
Anp32e,Anp32e
Anxa2,Anxa2
Anxa3,Anxa3
Anxa5,Anxa5
Anxa6,Anxa6
Aoah,Aoah
Ap1b1,Ap1b1
Ap1m1,Ap1m1
Ap1s2,Ap1s2
Ap1s3,Ap1s3
Ap2a2,Ap2a2
Ap3s1,Ap3s1
Apba1,Apba1
Apbb1ip,Apbb1ip
Apeh,Apeh
Apip,Apip
Aplp2,Aplp2
Apob48r,Apob48r
Apobec3,Apobec3
Apoe,Apoe
App,App
Appl1,Appl1
Aprt,Aprt
Aqp1,Aqp1
Aqp11,Aqp11
Aqp9,Aqp9
Aqr,Aqr
Arap2,Arap2
Arap3,Arap3
Arf1,Arf1
Arf4,Arf4
Arf5,Arf5
Arglu1,Arglu1
Arhgap17,Arhgap17
Arhgap19,Arhgap19
Arhgap21,Arhgap21
Arhgap23,Arhgap23
Arhgap25,Arhgap25
Arhgap27,Arhgap27
Arhgap30,Arhgap30
Arhgap31,Arhgap31
Arhgap32,Arhgap32
Arhgap6,Arhgap6
Arhgap9,Arhgap9
Arhgdia,Arhgdia
Arhgdib,Arhgdib
Arhgdig,Arhgdig
Arhgef12,Arhgef12
Arhgef2,Arhgef2
Arhgef25,Arhgef25
Arhgef3,Arhgef3
Arhgef4,Arhgef4
Arhgef40,Arhgef40
Arhgef6,Arhgef6
Arid1a,Arid1a
Arid1b,Arid1b
Arid2,Arid2
Arid3a,Arid3a
Arid3b,Arid3b
Arid4b,Arid4b
Arid5a,Arid5a
Arid5b,Arid5b
Arl11,Arl11
Arl4a,Arl4a
Arl6ip1,Arl6ip1
Arl8a,Arl8a
Armc9,Armc9
Arpc1a,Arpc1a
Arpc1b,Arpc1b
Arpc2,Arpc2
Arpc4,Arpc4
Arrb1,Arrb1
Arsb,Arsb
Arvcf,Arvcf
As3mt,As3mt
Asah1,Asah1
Asap1,Asap1
Asf1b,Asf1b
Ash1l,Ash1l
Asns,Asns
Asp,Asp
Asph,Asph
Ass1,Ass1
Asxl1,Asxl1
Atad5,Atad5
Atf4,Atf4
Atf7ip,Atf7ip
Atg16l2,Atg16l2
Atg2b,Atg2b
Atg4b,Atg4b
Atic,Atic
Atmin,Atmin
Atn1,Atn1
Atox1,Atox1
Atp10a,Atp10a
Atp10d,Atp10d
Atp11a,Atp11a
Atp13a3,Atp13a3
Atp1a3,Atp1a3
Atp1b1,Atp1b1
Atp1b2,Atp1b2
Atp1b3,Atp1b3
Atp2a2,Atp2a2
Atp2a3,Atp2a3
Atp2b1,Atp2b1
Atp2b4,Atp2b4
Atp5a1,Atp5a1
Atp5b,Atp5b
Atp5c1,Atp5c1
Atp5d,Atp5d
Atp5f1,Atp5f1
Atp5g3,Atp5g3
Atp5h,Atp5h
Atp5j2,Atp5j2
Atp5o,Atp5o
Atp6ap2,Atp6ap2
Atp6v0a1,Atp6v0a1
Atp6v0b,Atp6v0b
Atp6v0c,Atp6v0c
Atp6v0d1,Atp6v0d1
Atp6v1f,Atp6v1f
Atp7b,Atp7b
Atp8a1,Atp8a1
Atp8b2,Atp8b2
Atp8b4,Atp8b4
Atp8b5,Atp8b5
Atpase6,Atpase6
Atpif1,Atpif1
Atrip,Atrip
Atrnl1,Atrnl1
Atrx,Atrx
Aurka,Aurka
Aurkb,Aurkb
Auts2,Auts2
Aven,Aven
B230120H23Rik,B230120H23Rik
B230219D22Rik,B230219D22Rik
B330016D10Rik,B330016D10Rik
B430306N03Rik,B430306N03Rik
B4galnt1,B4galnt1
B4galt4,B4galt4
B4galt5,B4galt5
B4galt6,B4galt6
BC002221,BC002221
BC003965,BC003965
BC005764,BC005764
BC019819,BC019819
BC021614,BC021614
BC021767,BC021767
BC024571,BC024571
BC025067,BC025067
BC029331,BC029331
BC031353,BC031353
BC033430,BC033430
BC035044,BC035044
BC048355,BC048355
BC051142,BC051142
BC057079,BC057079
BC064078,BC064078
BC096441,BC096441
Bag1,Bag1
Bag2,Bag2
Bahcc1,Bahcc1
Baiap2,Baiap2
Bambi,Bambi
Bambi-ps1,Bambi-ps1
Banf1,Banf1
Basp1,Basp1
Bat2d,Bat2d
Batf3,Batf3
Bax,Bax
Baz1a,Baz1a
Baz1b,Baz1b
Baz2b,Baz2b
Bcas2,Bcas2
Bcas3,Bcas3
Bcl11a,Bcl11a
Bcl2,Bcl2
Bcl2l1,Bcl2l1
Bcl2l11,Bcl2l11
Bcl3,Bcl3
Bcl9,Bcl9
Bcl9l,Bcl9l
Bclaf1,Bclaf1
Bdh1,Bdh1
Bdp1,Bdp1
Beta-s,Beta-s
Bex4,Bex4
Bex6,Bex6
Bhlha15,Bhlha15
Bin1,Bin1
Birc3,Birc3
Birc5,Birc5
Birc6,Birc6
Blm,Blm
Blnk,Blnk
Blvra,Blvra
Blvrb,Blvrb
Bmp1,Bmp1
Bmp2k,Bmp2k
Bms1,Bms1
Bnip2,Bnip2
Bod1l,Bod1l
Bola2,Bola2
Bola3,Bola3
Boll,Boll
Bptf,Bptf
Brd1,Brd1
Brd3,Brd3
Brd4,Brd4
Brd7,Brd7
Brf1,Brf1
Bri3bp,Bri3bp
Brix1,Brix1
Brpf3,Brpf3
Bsg,Bsg
Bst2,Bst2
Btaf1,Btaf1
Btbd3,Btbd3
Btg1,Btg1
Btg2,Btg2
Btnl9,Btnl9
Bub1b,Bub1b
Bub3,Bub3
Butr1,Butr1
Bzrap1,Bzrap1
Bzw1,Bzw1
Bzw2,Bzw2
C184,C184
C1galt1,C1galt1
C1galt1c1,C1galt1c1
C1qb,C1qb
C1qbp,C1qbp
C1qc,C1qc
C1qtnf6,C1qtnf6
C1rl,C1rl
C230052I12Rik,C230052I12Rik
C230096C10Rik,C230096C10Rik
C3,C3
C330019G07Rik,C330019G07Rik
C530008M17Rik,C530008M17Rik
Cables1,Cables1
Cachd1,Cachd1
Cacybp,Cacybp
Cad,Cad
Calcoco1,Calcoco1
Calm1,Calm1
Calm2,Calm2
Calr,Calr
Camk1,Camk1
Camk1d,Camk1d
Camk2a,Camk2a
Camkk1,Camkk1
Camkk2,Camkk2
Camsap1l1,Camsap1l1
Cand1,Cand1
Canx,Canx
Cap1,Cap1
Capg,Capg
Capn1,Capn1
Capn3,Capn3
Capn5,Capn5
Capns1,Capns1
Caprin1,Caprin1
Caprin2,Caprin2
Capzb,Capzb
Car1,Car1
Car2,Car2
Car9,Car9
Card6,Card6
Carhsp1,Carhsp1
Cars,Cars
Casc5,Casc5
Casp1,Casp1
Casp11,Casp11
Casp3,Casp3
Casp6,Casp6
Casp7,Casp7
Cast,Cast
Casz1,Casz1
Cbfa2t3,Cbfa2t3
Cbfb,Cbfb
Cbl,Cbl
Cbr1,Cbr1
Cbr3,Cbr3
Cbx4,Cbx4
Cbx5,Cbx5
Cbx8,Cbx8
Ccar1,Ccar1
Ccbl1,Ccbl1
Ccbl2,Ccbl2
Ccdc102a,Ccdc102a
Ccdc109b,Ccdc109b
Ccdc125,Ccdc125
Ccdc135,Ccdc135
Ccdc163,Ccdc163
Ccdc23,Ccdc23
Ccdc32,Ccdc32
Ccdc48,Ccdc48
Ccdc50,Ccdc50
Ccdc69,Ccdc69
Ccdc74a,Ccdc74a
Ccdc88a,Ccdc88a
Ccdc88b,Ccdc88b
Ccl5,Ccl5
Ccl6,Ccl6
Ccl9,Ccl9
Ccnb1,Ccnb1
Ccnb2,Ccnb2
Ccnd1,Ccnd1
Ccnd2,Ccnd2
Ccne1,Ccne1
Ccnf,Ccnf
Ccng2,Ccng2
Cct3,Cct3
Cct4,Cct4
Cct5,Cct5
Cct6a,Cct6a
Cct7,Cct7
Cct8,Cct8
Cd14,Cd14
Cd160,Cd160
Cd1d2,Cd1d2
Cd2,Cd2
Cd244,Cd244
Cd248,Cd248
Cd24a,Cd24a
Cd27,Cd27
Cd274,Cd274
Cd300a,Cd300a
Cd300lb,Cd300lb
Cd300lg,Cd300lg
Cd302,Cd302
Cd34,Cd34
Cd48,Cd48
Cd52,Cd52
Cd53,Cd53
Cd55,Cd55
Cd59a,Cd59a
Cd63,Cd63
Cd68,Cd68
Cd7,Cd7
Cd74,Cd74
Cd79b,Cd79b
Cd81,Cd81
Cd82,Cd82
Cd9,Cd9
Cd93,Cd93
Cd99l2,Cd99l2
Cdc14a,Cdc14a
Cdc25b,Cdc25b
Cdc34,Cdc34
Cdc37,Cdc37
Cdc42,Cdc42
Cdc42se1,Cdc42se1
Cdc45,Cdc45
Cdc6,Cdc6
Cdca3,Cdca3
Cdca7,Cdca7
Cdca8,Cdca8
Cdcrel-1,Cdcrel-1
Cdh1,Cdh1
Cdk1,Cdk1
Cdk12,Cdk12
Cdk13,Cdk13
Cdk18,Cdk18
Cdk2ap2,Cdk2ap2
Cdk4,Cdk4
Cdk5r1,Cdk5r1
Cdk6,Cdk6
Cdkn1a,Cdkn1a
Cdkn3,Cdkn3
Cdr2,Cdr2
Cds1,Cds1
Cdt1,Cdt1
Cdv3,Cdv3
Cdyl,Cdyl
Ceacam1,Ceacam1
Cebpa,Cebpa
Cebpe,Cebpe
Cela1,Cela1
Celf1,Celf1
Celf2,Celf2
Celsr1,Celsr1
Celsr3,Celsr3
Cenp-a,Cenp-a
Cenpe,Cenpe
Cenpf,Cenpf
Cenph,Cenph
Cenpl,Cenpl
Cenpn,Cenpn
Cenpv,Cenpv
Cep350,Cep350
Cep55,Cep55
Cercam,Cercam
Cerk,Cerk
Cfdp1,Cfdp1
Cfl1,Cfl1
Cfp,Cfp
Cggbp1,Cggbp1
Chac2,Chac2
Chaf1b,Chaf1b
Chchd10,Chchd10
Chchd2,Chchd2
Chchd3,Chchd3
Chd1,Chd1
Chd2,Chd2
Chd3,Chd3
Chd4,Chd4
Chd6,Chd6
Chd7,Chd7
Chd8,Chd8
Chi3l3,Chi3l3
Chpf,Chpf
Chst10,Chst10
Chst12,Chst12
Chst13,Chst13
Cic,Cic
Cisd1,Cisd1
Cisd3,Cisd3
Cish,Cish
Cit,Cit
Cited2,Cited2
Cited4,Cited4
Ckap2l,Ckap2l
Ckap4,Ckap4
Ckap5,Ckap5
Ckb,Ckb
Clasp1,Clasp1
Clca5,Clca5
Clcf1,Clcf1
Clcn3,Clcn3
Cldn13,Cldn13
Cldn15,Cldn15
Clec10a,Clec10a
Clec11a,Clec11a
Clec12a,Clec12a
Clec2d,Clec2d
Clec4d,Clec4d
Clec4e,Clec4e
Clec5a,Clec5a
Clic1,Clic1
Clic4,Clic4
Clint1,Clint1
Clk2,Clk2
Clnk,Clnk
Clpp,Clpp
Clspn,Clspn
Clta,Clta
Cltc,Cltc
Clu,Clu
Clybl,Clybl
Cma1,Cma1
Cmah,Cmah
Cmpk2,Cmpk2
Cmtm3,Cmtm3
Cmtm4,Cmtm4
Cmtm7,Cmtm7
Cnbp,Cnbp
Cnn2,Cnn2
Cnn3,Cnn3
Cnnm2,Cnnm2
Cnnm4,Cnnm4
Cnot1,Cnot1
Cnp,Cnp
Cnpy2,Cnpy2
Cnpy3,Cnpy3
Cnr2,Cnr2
Cobll1,Cobll1
Col5a1,Col5a1
Commd4,Commd4
Commd7,Commd7
Cope,Cope
Copz2,Copz2
Coq9,Coq9
Coro1a,Coro1a
Coro1b,Coro1b
Coro2a,Coro2a
Coro7,Coro7
Cox17,Cox17
Cox4i1,Cox4i1
Cox5a,Cox5a
Cox5b,Cox5b
Cox6a1,Cox6a1
Cox6a2,Cox6a2
Cox6b1,Cox6b1
Cox6b2,Cox6b2
Cox7c,Cox7c
Cox8a,Cox8a
Cpa3,Cpa3
Cpne2,Cpne2
Cpne3,Cpne3
Cpox,Cpox
Cpsf2,Cpsf2
Cpt2,Cpt2
Crebbp,Crebbp
Creg1,Creg1
Creld2,Creld2
Crim1,Crim1
Crip1,Crip1
Crip2,Crip2
Cs,Cs
Csda,Csda
Csde1,Csde1
Csf1,Csf1
Csf1r,Csf1r
Csf2ra,Csf2ra
Csf2rb,Csf2rb
Csf2rb2,Csf2rb2
Csf3r,Csf3r
Csgalnact2,Csgalnact2
Csk,Csk
Csnk1a1,Csnk1a1
Csnk2b,Csnk2b
Csrnp1,Csrnp1
Csrp2,Csrp2
Csrp3,Csrp3
Cst3,Cst3
Cst7,Cst7
Ctage5,Ctage5
Ctbp1,Ctbp1
Ctcf,Ctcf
Ctdspl,Ctdspl
Ctla2a,Ctla2a
Ctnna1,Ctnna1
Ctnnb1,Ctnnb1
Ctsc,Ctsc
Ctsd,Ctsd
Ctse,Ctse
Ctsg,Ctsg
Ctsh,Ctsh
Ctsl,Ctsl
Ctss,Ctss
Ctsw,Ctsw
Ctsz,Ctsz
Cttn,Cttn
Cuedc1,Cuedc1
Cul4a,Cul4a
Cul7,Cul7
Cul9,Cul9
Cux1,Cux1
Cxcl10,Cxcl10
Cxcr4,Cxcr4
Cxxc1,Cxxc1
Cyb5,Cyb5
Cyb5b,Cyb5b
Cyb5r3,Cyb5r3
Cyba,Cyba
Cybb,Cybb
Cyc1,Cyc1
Cyfip1,Cyfip1
Cyfip2,Cyfip2
Cyhr1,Cyhr1
Cyp11a1,Cyp11a1
Cyp27a1,Cyp27a1
Cyp4f16,Cyp4f16
Cyp4f18,Cyp4f18
Cyth1,Cyth1
Cyth3,Cyth3
Cyth4,Cyth4
Cytip,Cytip
D16H22S680E,D16H22S680E
D17Wsu104e,D17Wsu104e
D17Wsu92e,D17Wsu92e
D18Ertd653e,D18Ertd653e
D230014K01Rik,D230014K01Rik
D4Wsu53e,D4Wsu53e
D6Mm5e,D6Mm5e
D930016D06Rik,D930016D06Rik
DAPK2,DAPK2
Daam1,Daam1
Dab2ip,Dab2ip
Dach1,Dach1
Dap,Dap
Dap3,Dap3
Dapp1,Dapp1
Darc,Darc
Dazap1,Dazap1
Dazap2,Dazap2
Dbndd2,Dbndd2
Dbnl,Dbnl
Dcaf4,Dcaf4
Dcaf7,Dcaf7
Dcaf8,Dcaf8
Dck,Dck
Dclk2,Dclk2
Dclre1a,Dclre1a
Dctn5,Dctn5
Dctpp1,Dctpp1
Ddah2,Ddah2
Ddb1,Ddb1
Ddit4,Ddit4
Ddost,Ddost
Ddx1,Ddx1
Ddx17,Ddx17
Ddx21,Ddx21
Ddx23,Ddx23
Ddx24,Ddx24
Ddx27,Ddx27
Ddx39,Ddx39
Ddx3x,Ddx3x
Ddx46,Ddx46
Ddx5,Ddx5
Ddx58,Ddx58
Ddx6,Ddx6
Def6,Def6
Def8,Def8
Dek,Dek
Dennd1b,Dennd1b
Dennd1c,Dennd1c
Dennd2d,Dennd2d
Dennd3,Dennd3
Dennd4a,Dennd4a
Deptor,Deptor
Dgat2,Dgat2
Dgkg,Dgkg
Dhdh,Dhdh
Dhrs11,Dhrs11
Dhrs3,Dhrs3
Dhrs4,Dhrs4
Dhrs7,Dhrs7
Dhx38,Dhx38
Dia2,Dia2
Diap2,Diap2
Dido1,Dido1
Dio2,Dio2
Dis3,Dis3
Dkkl1,Dkkl1
Dlat,Dlat
Dlg3,Dlg3
Dlgap5,Dlgap5
Dlst,Dlst
Dmkn,Dmkn
Dmwd,Dmwd
Dmxl1,Dmxl1
Dnahc8,Dnahc8
Dnaja3,Dnaja3
Dnaja4,Dnaja4
Dnajb1,Dnajb1
Dnajb11,Dnajb11
Dnajb2,Dnajb2
Dnajb3,Dnajb3
Dnajb9,Dnajb9
Dnajc10,Dnajc10
Dnajc11,Dnajc11
Dnajc19,Dnajc19
Dnajc2,Dnajc2
Dnajc3,Dnajc3
Dnajc6,Dnajc6
Dnajc8,Dnajc8
Dnhd1,Dnhd1
Dnmt1,Dnmt1
Dnmt3a,Dnmt3a
Dnmt3b,Dnmt3b
Dnpep,Dnpep
Dntt,Dntt
Dnttip2,Dnttip2
Dock1,Dock1
Dock10,Dock10
Dock2,Dock2
Dock7,Dock7
Dock8,Dock8
Dok2,Dok2
Dok3,Dok3
Dopey2,Dopey2
Dpp4,Dpp4
Dpp9,Dpp9
Dpy19l1,Dpy19l1
Dpy19l3,Dpy19l3
Dpysl2,Dpysl2
Drctnnb1a,Drctnnb1a
Drosha,Drosha
Dst,Dst
Dstn,Dstn
Dstyk,Dstyk
Dtl,Dtl
Dtnbp1,Dtnbp1
Dtx3,Dtx3
Dtx4,Dtx4
Dus1l,Dus1l
Dusp11,Dusp11
Dusp16,Dusp16
Dusp18,Dusp18
Dusp22,Dusp22
Dusp23,Dusp23
Dusp3,Dusp3
Dut,Dut
Dym,Dym
Dync1h1,Dync1h1
Dync1i2,Dync1i2
Dynlrb1,Dynlrb1
Dyrk3,Dyrk3
E130012A19Rik,E130012A19Rik
E130308A19Rik,E130308A19Rik
E2f2,E2f2
E2f4,E2f4
E2f8,E2f8
E330016A19Rik,E330016A19Rik
ENSMUSG00000073540,ENSMUSG00000073540
ENSMUSG00000073777,ENSMUSG00000073777
Ebi3,Ebi3
Ebna1bp2,Ebna1bp2
Ece1,Ece1
Echs1,Echs1
Ecm1,Ecm1
Edem1,Edem1
Edem2,Edem2
Edf1,Edf1
Eef1b2,Eef1b2
Eef1d,Eef1d
Eef1e1,Eef1e1
Eef1g,Eef1g
Eef2,Eef2
Eepd1,Eepd1
Efcab4a,Efcab4a
Efhd2,Efhd2
Efnb1,Efnb1
Eftud2,Eftud2
Egfl7,Egfl7
Egln3,Egln3
Egr1,Egr1
Ehd1,Ehd1
Ehd3,Ehd3
Ehmt2,Ehmt2
Eif1ax,Eif1ax
Eif2ak1,Eif2ak1
Eif2b1,Eif2b1
Eif2b4,Eif2b4
Eif2c2,Eif2c2
Eif2c3,Eif2c3
Eif2d,Eif2d
Eif2s2,Eif2s2
Eif3a,Eif3a
Eif3b,Eif3b
Eif3c,Eif3c
Eif3d,Eif3d
Eif3f,Eif3f
Eif3g,Eif3g
Eif3h,Eif3h
Eif3i,Eif3i
Eif3k,Eif3k
Eif3m,Eif3m
Eif4a1,Eif4a1
Eif4b,Eif4b
Eif4e2,Eif4e2
Eif4e3,Eif4e3
Eif4ebp1,Eif4ebp1
Eif4ebp2,Eif4ebp2
Eif4enif1,Eif4enif1
Eif4g1,Eif4g1
Eif4g2,Eif4g2
Eif4g3,Eif4g3
Eif5,Eif5
Eif5b,Eif5b
Elane,Elane
Elavl1,Elavl1
Elf1,Elf1
Elk3,Elk3
Ell2,Ell2
Elmo1,Elmo1
Elovl5,Elovl5
Elovl7,Elovl7
Eltd1,Eltd1
Emb,Emb
Emg1,Emg1
Emid1,Emid1
Emilin1,Emilin1
Emilin2,Emilin2
Eml4,Eml4
Emp3,Emp3
Endod1,Endod1
Ep400,Ep400
Epb4.1,Epb4.1
Epb4.1l2,Epb4.1l2
Epb4.1l4b,Epb4.1l4b
Epb4.9,Epb4.9
Epdr1,Epdr1
Ephx2,Ephx2
Epn1,Epn1
Epor,Epor
Eprs,Eprs
Eps15,Eps15
Epsti1,Epsti1
Epx,Epx
Erbb2ip,Erbb2ip
Erc1,Erc1
Ermap,Ermap
Ern1,Ern1
Ero1l,Ero1l
Ero1lb,Ero1lb
Erp29,Erp29
Erp44,Erp44
Esco2,Esco2
Espl1,Espl1
Esyt1,Esyt1
Etf1,Etf1
Etfa,Etfa
Etfb,Etfb
Etfdh,Etfdh
Etnk1,Etnk1
Ets1,Ets1
Etv6,Etv6
Evi2b,Evi2b
Evl,Evl
Exoc3l2,Exoc3l2
Exoc6,Exoc6
Exosc2,Exosc2
Exosc5,Exosc5
Exosc7,Exosc7
Exosc8,Exosc8
Ext1,Ext1
Eya2,Eya2
Ezh2,Ezh2
Ezr,Ezr
F10,F10
F13a1,F13a1
F2r,F2r
F2rl3,F2rl3
F5,F5
FKBP12-T1,FKBP12-T1
FKBP1b-B,FKBP1b-B
Faah,Faah
Fabp5,Fabp5
Fads1,Fads1
Fads3,Fads3
Fam101b,Fam101b
Fam102a,Fam102a
Fam105a,Fam105a
Fam107b,Fam107b
Fam108b,Fam108b
Fam109b,Fam109b
Fam110a,Fam110a
Fam117a,Fam117a
Fam129a,Fam129a
Fam129c,Fam129c
Fam132a,Fam132a
Fam134a,Fam134a
Fam134b,Fam134b
Fam158a,Fam158a
Fam160a2,Fam160a2
Fam162a,Fam162a
Fam168b,Fam168b
Fam174b,Fam174b
