cell_id,paul15_clusters
W37154,6Ery
W37155,11DC
W37156,4Ery
W37157,15Mo
W37158,3Ery
W37159,2Ery
W37161,7MEP
W37162,1Ery
W37163,7MEP
W37164,5Ery
W37165,3Ery
W37166,3Ery
W37167,13Baso
W37168,3Ery
W37169,15Mo
W37170,15Mo
W37171,4Ery
W37172,14Mo
W37173,2Ery
W37174,2Ery
W37175,16Neu
W37176,13Baso
W37177,14Mo
W37178,5Ery
W37179,16Neu
W37180,14Mo
W37181,16Neu
W37182,8Mk
W37183,7MEP
W37184,8Mk
W37185,14Mo
W37186,10GMP
W37187,5Ery
W37188,10GMP
W37190,3Ery
W37191,13Baso
W37192,14Mo
W37193,3Ery
W37194,2Ery
W37195,2Ery
W37196,14Mo
W37197,2Ery
W37198,6Ery
W37199,4Ery
W37200,15Mo
W37201,13Baso
W37202,6Ery
W37203,12Baso
W37204,16Neu
W37205,14Mo
W37206,15Mo
W37207,13Baso
W37208,2Ery
W37209,14Mo
W37210,14Mo
W37211,12Baso
W37212,10GMP
W37213,7MEP
W37215,2Ery
W37216,4Ery
W37217,3Ery
W37218,16Neu
W37219,5Ery
W37220,2Ery
W37221,3Ery
W37223,2Ery
W37224,14Mo
W37225,14Mo
W37226,8Mk
W37227,5Ery
W37228,7MEP
W37229,7MEP
W37230,16Neu
W37231,2Ery
W37232,13Baso
W37233,5Ery
W37234,5Ery
W37235,14Mo
W37236,6Ery
W37237,14Mo
W37238,7MEP
W37239,2Ery
W37240,13Baso
W37241,2Ery
W37242,14Mo
W37243,2Ery
W37244,15Mo
W37245,3Ery
W37246,5Ery
W37247,10GMP
W37248,6Ery
W37249,15Mo
W37250,1Ery
W37251,4Ery
W37252,12Baso
W37253,4Ery
W37258,13Baso
W37259,6Ery
W37260,3Ery
W37261,8Mk
W37262,6Ery
W37264,3Ery
W37265,3Ery
W37266,4Ery
W37267,16Neu
W37268,7MEP
W37269,3Ery
W37270,15Mo
W37273,10GMP
W37274,12Baso
W37275,3Ery
W37276,3Ery
W37277,14Mo
W37278,9GMP
W37279,12Baso
W37280,15Mo
W37281,15Mo
W37282,2Ery
W37283,14Mo
W37284,4Ery
W37285,3Ery
W37286,14Mo
W37288,14Mo
W37289,8Mk
W37290,16Neu
W37291,10GMP
W37292,2Ery
W37293,2Ery
W37294,3Ery
W37295,9GMP
W37296,15Mo
W37297,14Mo
W37298,5Ery
W37300,14Mo
W37301,2Ery
W37302,13Baso
W37303,14Mo
W37304,14Mo
W37305,14Mo
W37306,2Ery
W37307,2Ery
W37308,13Baso
W37309,6Ery
W37310,7MEP
W37311,7MEP
W37312,13Baso
W37313,3Ery
W37314,3Ery
W37315,14Mo
W37317,2Ery
W37318,2Ery
W37319,8Mk
W37320,7MEP
W37322,16Neu
W37323,5Ery
W37324,14Mo
W37325,2Ery
W37326,14Mo
W37327,8Mk
W37328,7MEP
W37330,14Mo
W37331,12Baso
W37332,13Baso
W37334,12Baso
W37335,13Baso
W37336,4Ery
W37337,14Mo
W37338,2Ery
W37339,5Ery
W37340,11DC
W37341,16Neu
W37342,3Ery
W37343,11DC
W37344,3Ery
W37345,4Ery
W37346,3Ery
W37347,6Ery
W37348,15Mo
W37349,17Neu
W37350,14Mo
W37353,4Ery
W37354,9GMP
W37355,7MEP
W37356,7MEP
W37357,14Mo
W37358,13Baso
W37361,4Ery
W37362,13Baso
W37363,14Mo
W37364,3Ery
W37365,2Ery
W37366,3Ery
W37367,14Mo
W37369,6Ery
W37371,2Ery
W37372,10GMP
W37373,13Baso
W37374,5Ery
W37375,7MEP
W37376,13Baso
W37377,3Ery
W37378,2Ery
W37379,14Mo
W37380,3Ery
W37381,2Ery
W37382,10GMP
W37384,13Baso
W37385,14Mo
W37386,4Ery
W37387,5Ery
W37388,18Eos
W37389,2Ery
W37390,14Mo
W37391,3Ery
W37392,13Baso
W37393,5Ery
W37394,12Baso
W37395,5Ery
W37396,2Ery
W37397,7MEP
W37398,5Ery
W37399,16Neu
W37401,15Mo
W37402,14Mo
W37403,5Ery
W37405,16Neu
W37406,2Ery
W37407,2Ery
W37409,6Ery
W37410,2Ery
W37411,5Ery
W37412,14Mo
W37413,2Ery
W37414,3Ery
W37415,5Ery
W37417,16Neu
W37418,10GMP
W37419,14Mo
W37420,1Ery
W37421,2Ery
W37422,3Ery
W37424,15Mo
W37425,7MEP
W37426,4Ery
W37427,7MEP
W37428,5Ery
W37429,2Ery
W37430,13Baso
W37431,14Mo
W37432,15Mo
W37433,2Ery
W37434,14Mo
W37435,6Ery
W37436,12Baso
W37437,2Ery
W37442,6Ery
W37443,14Mo
W37446,6Ery
W37449,17Neu
W37450,6Ery
W37451,6Ery
W37452,9GMP
W37453,3Ery
W37454,14Mo
W37455,6Ery
W37456,15Mo
W37457,15Mo
W37458,13Baso
W37459,3Ery
W37460,16Neu
W37461,7MEP
W37462,3Ery
W37463,13Baso
W37465,3Ery
W37466,14Mo
W37467,14Mo
W37468,8Mk
W37469,16Neu
W37470,14Mo
W37471,17Neu
W37473,3Ery
W37474,5Ery
W37475,10GMP
W37476,16Neu
W37477,2Ery
W37478,14Mo
W37479,6Ery
W37480,14Mo
W37481,13Baso
W37482,5Ery
W37483,10GMP
W37484,7MEP
W37485,2Ery
W37486,2Ery
W37487,2Ery
W37488,14Mo
W37489,7MEP
W37490,8Mk
W37491,14Mo
W37492,2Ery
W37493,2Ery
W37494,14Mo
W37496,13Baso
W37497,7MEP
W37498,4Ery
W37499,13Baso
W37500,13Baso
W37501,5Ery
W37502,2Ery
W37503,18Eos
W37504,15Mo
W37505,5Ery
W37506,7MEP
W37507,2Ery
W37508,13Baso
W37509,14Mo
W37510,6Ery
W37511,5Ery
W37512,4Ery
W37514,13Baso
W37515,7MEP
W37516,5Ery
W37517,5Ery
W37518,10GMP
W37519,16Neu
W37520,2Ery
W37521,14Mo
W37522,3Ery
W37523,2Ery
W37524,10GMP
W37525,16Neu
W37526,8Mk
W37527,6Ery
W37528,15Mo
W37529,5Ery
W37530,10GMP
W37531,7MEP
W37532,14Mo
W37534,2Ery
W37535,15Mo
W37537,3Ery
W37538,6Ery
W37539,1Ery
W37540,2Ery
W37541,3Ery
W37542,4Ery
W37545,6Ery
W37546,13Baso
W37548,3Ery
W37549,5Ery
W37551,14Mo
W37552,13Baso
W37553,13Baso
W37554,3Ery
W37555,4Ery
W37557,7MEP
W37558,10GMP
W37559,11DC
W37561,3Ery
W37562,13Baso
W37563,2Ery
W37564,13Baso
W37565,2Ery
W37566,4Ery
W37567,10GMP
W37568,16Neu
W37569,14Mo
W37570,16Neu
W37572,10GMP
W37573,2Ery
W37574,2Ery
W37575,6Ery
W37577,3Ery
W37578,14Mo
W37579,14Mo
W37580,15Mo
W37581,10GMP
W37582,13Baso
W37583,3Ery
W37584,7MEP
W37585,13Baso
W37586,2Ery
W37587,14Mo
W37588,14Mo
W37589,15Mo
W37591,4Ery
W37593,15Mo
W37594,14Mo
W37595,10GMP
W37596,13Baso
W37597,16Neu
W37599,8Mk
W37601,13Baso
W37602,5Ery
W37603,6Ery
W37604,14Mo
W37605,2Ery
W37606,6Ery
W37607,3Ery
W37608,14Mo
W37609,7MEP
W37610,7MEP
W37611,14Mo
W37612,5Ery
W37613,13Baso
W37614,2Ery
W37615,16Neu
W37617,12Baso
W37618,14Mo
W37619,8Mk
W37620,4Ery
W37621,3Ery
W37622,2Ery
W37624,14Mo
W37625,7MEP
W37627,7MEP
W37628,10GMP
W37629,13Baso
W37630,2Ery
W37631,2Ery
W37633,3Ery
W37634,3Ery
W37635,6Ery
W37642,7MEP
W37644,8Mk
W37650,2Ery
W37651,1Ery
W37653,9GMP
W37654,13Baso
W37657,15Mo
W37658,6Ery
W37660,13Baso
W37661,3Ery
W37663,16Neu
W37664,14Mo
W37665,5Ery
W37666,7MEP
W37667,13Baso
W37668,4Ery
W37669,13Baso
W37670,2Ery
W37673,15Mo
W37674,7MEP
W37675,3Ery
W37676,10GMP
W37680,13Baso
W37682,3Ery
W37683,1Ery
W37684,13Baso
W37685,13Baso
W37686,7MEP
W37687,16Neu
W37689,14Mo
W37691,3Ery
W37692,2Ery
W37693,1Ery
W37694,13Baso
W37696,15Mo
W37698,8Mk
W37699,2Ery
W37700,14Mo
W37701,14Mo
W37702,14Mo
W37704,9GMP
W37706,14Mo
W37707,14Mo
W37708,2Ery
W37709,7MEP
W37710,2Ery
W37711,16Neu
W37712,10GMP
W37713,6Ery
W37714,2Ery
W37715,15Mo
W37716,14Mo
W37717,15Mo
W37718,3Ery
W37719,12Baso
W37720,2Ery
W37721,13Baso
W37722,13Baso
W37723,7MEP
W37724,6Ery
W37725,5Ery
W37726,2Ery
W37728,14Mo
W37729,12Baso
W37730,2Ery
W37731,16Neu
W37737,4Ery
W37738,6Ery
W37739,13Baso
W37745,4Ery
W37746,2Ery
W37747,4Ery
W37748,15Mo
W37753,1Ery
W37754,15Mo
W37756,13Baso
W37758,15Mo
W37759,3Ery
W37761,6Ery
W37762,12Baso
W37763,12Baso
W37764,13Baso
W37765,5Ery
W37766,16Neu
W37769,6Ery
W37770,13Baso
W37771,2Ery
W37772,14Mo
W37776,3Ery
W37777,14Mo
W37778,8Mk
W37779,2Ery
W37780,9GMP
W37781,4Ery
W37782,3Ery
W37786,3Ery
W37788,14Mo
W37790,2Ery
W37793,10GMP
W37794,16Neu
W37795,6Ery
W37796,14Mo
W37797,16Neu
W37798,5Ery
W37799,10GMP
W37800,16Neu
W37801,12Baso
W37802,11DC
W37803,15Mo
W37804,2Ery
W37805,13Baso
W37806,7MEP
W37807,13Baso
W37809,13Baso
W37811,2Ery
W37812,6Ery
W37813,14Mo
W37817,5Ery
W37818,16Neu
W37819,5Ery
W37820,6Ery
W37821,18Eos
W37822,14Mo
W37825,14Mo
W37826,13Baso
W37828,15Mo
W37830,2Ery
W37833,2Ery
W37835,13Baso
W37838,3Ery
W37841,2Ery
W37842,15Mo
W37843,12Baso
W37844,7MEP
W37847,3Ery
W37848,4Ery
W37849,15Mo
W37850,14Mo
W37851,4Ery
W37852,4Ery
W37853,13Baso
W37854,9GMP
W37857,12Baso
W37858,2Ery
W37859,4Ery
W37860,9GMP
W37861,16Neu
W37863,16Neu
W37864,2Ery
W37865,2Ery
W37866,16Neu
W37867,7MEP
W37868,14Mo
W37870,14Mo
W37872,14Mo
W37873,5Ery
W37874,5Ery
W37875,3Ery
W37876,3Ery
W37878,2Ery
W37879,18Eos
W37880,14Mo
W37881,3Ery
W37882,14Mo
W37883,14Mo
W37885,12Baso
W37886,14Mo
W37887,4Ery
W37888,3Ery
W37889,14Mo
W37890,7MEP
W37891,5Ery
W37892,12Baso
W37893,2Ery
W37894,15Mo
W37895,14Mo
W37896,3Ery
W37898,14Mo
